Bulk CNx_step001_speed5deg/1,
θ/2θ - °,Intensity - cps
10,15978.5927734375
10.0100002288818,15993.033203125
10.0200004577637,15807.3349609375
10.0299997329712,15806.546875
10.039999961853,15950.318359375
10.0500001907349,16411.38671875
10.0600004196167,16361.6328125
10.0699996948242,16044.4677734375
10.0799999237061,15779.3349609375
10.0900001525879,16031.0263671875
10.1000003814697,16161.1923828125
10.1099996566772,15978.154296875
10.1199998855591,15641.9658203125
10.1300001144409,15839.875
10.1400003433228,16364.7568359375
10.1499996185303,16686.46875
10.1599998474121,16584.2109375
10.1700000762939,16578.875
10.1800003051758,16748.0234375
10.1899995803833,16749.5703125
10.1999998092651,16764.84765625
10.210000038147,16726.84375
10.2200002670288,16415.21484375
10.2299995422363,16404.79296875
10.2399997711182,16638.59375
10.25,16727.361328125
10.2600002288818,16915.4609375
10.2700004577637,17188.28125
10.2799997329712,17144.212890625
10.289999961853,16754.326171875
10.3000001907349,16568.259765625
10.3100004196167,16864.15625
10.3199996948242,17058.2734375
10.3299999237061,17352.451171875
10.3400001525879,17313.095703125
10.3500003814697,17104.296875
10.3599996566772,17186.87890625
10.3699998855591,17046.806640625
10.3800001144409,17095.91015625
10.3900003433228,17556.361328125
10.3999996185303,17458.1796875
10.4099998474121,17541.224609375
10.4200000762939,17566.732421875
10.4300003051758,17714.796875
10.4399995803833,17437.591796875
10.4499998092651,17559.349609375
10.460000038147,17802.123046875
10.4700002670288,17748.8125
10.4799995422363,17840.876953125
10.4899997711182,17819.048828125
10.5,18129.287109375
10.5100002288818,18256.439453125
10.5200004577637,18497.48828125
10.5299997329712,18154.912109375
10.539999961853,17838.623046875
10.5500001907349,17666.697265625
10.5600004196167,17915.830078125
10.5699996948242,18307.828125
10.5799999237061,18110.650390625
10.5900001525879,18340.294921875
10.6000003814697,18427.30078125
10.6099996566772,18003.6484375
10.6199998855591,18101.822265625
10.6300001144409,18336.744140625
10.6400003433228,18636
10.6499996185303,18600.068359375
10.6599998474121,18172.8671875
10.6700000762939,18114.1796875
10.6800003051758,18513.865234375
10.6899995803833,18607.90625
10.6999998092651,18664.333984375
10.710000038147,18906.205078125
10.7200002670288,18640.22265625
10.7299995422363,18734.7421875
10.7399997711182,19103.37890625
10.75,18838.3828125
10.7600002288818,18816.2734375
10.7700004577637,19007.529296875
10.7799997329712,18930.98046875
10.789999961853,19160.3515625
10.8000001907349,19075.85546875
10.8100004196167,19191.0546875
10.8199996948242,19405.92578125
10.8299999237061,19247.404296875
10.8400001525879,19138.73046875
10.8500003814697,19185.494140625
10.8599996566772,19078.736328125
10.8699998855591,19255.650390625
10.8800001144409,19316.634765625
10.8900003433228,19160.287109375
10.8999996185303,19446.509765625
10.9099998474121,19478.173828125
10.9200000762939,19351.150390625
10.9300003051758,19520.8046875
10.9399995803833,19454.376953125
10.9499998092651,19265.55859375
10.960000038147,19262.4921875
10.9700002670288,19144.68359375
10.9799995422363,19432.240234375
10.9899997711182,19656.955078125
11,19463.380859375
11.0100002288818,19563.65234375
11.0200004577637,19243.439453125
11.0299997329712,19302.857421875
11.039999961853,19392.525390625
11.0500001907349,19588.515625
11.0600004196167,19731.2578125
11.0699996948242,20078.275390625
11.0799999237061,19860.748046875
11.0900001525879,19850.068359375
11.1000003814697,20105.193359375
11.1099996566772,19609.541015625
11.1199998855591,19385.28125
11.1300001144409,19851.7265625
11.1400003433228,19744.265625
11.1499996185303,20397.859375
11.1599998474121,20143.3046875
11.1700000762939,20605.115234375
11.1800003051758,20850.33203125
11.1899995803833,20470.4921875
11.1999998092651,19971.15234375
11.210000038147,19881.84765625
11.2200002670288,20098.298828125
11.2299995422363,20339.271484375
11.2399997711182,20577.50390625
11.25,20183.083984375
11.2600002288818,19979.71484375
11.2700004577637,20552.611328125
11.2799997329712,20894.103515625
11.289999961853,20711.517578125
11.3000001907349,20819.458984375
11.3100004196167,20819.603515625
11.3199996948242,20347.052734375
11.3299999237061,20462.234375
11.3400001525879,20870.0078125
11.3500003814697,20647.29296875
11.3599996566772,20598.52734375
11.3699998855591,20798.607421875
11.3800001144409,20853.736328125
11.3900003433228,20988.853515625
11.3999996185303,21312.97265625
11.4099998474121,21206.103515625
11.4200000762939,21207.625
11.4300003051758,20932.521484375
11.4399995803833,21417.857421875
11.4499998092651,21516.810546875
11.460000038147,21272.380859375
11.4700002670288,21517.1640625
11.4799995422363,21971.15234375
11.4899997711182,21854.478515625
11.5,21582.962890625
11.5100002288818,21643.791015625
11.5200004577637,21789.5625
11.5299997329712,21690.041015625
11.539999961853,21448.73828125
11.5500001907349,21585.3359375
11.5600004196167,21713.171875
11.5699996948242,22094.595703125
11.5799999237061,22190.103515625
11.5900001525879,22107.572265625
11.6000003814697,22266.3828125
11.6099996566772,22279.23828125
11.6199998855591,22086.5546875
11.6300001144409,22534.615234375
11.6400003433228,22417.509765625
11.6499996185303,22404.21875
11.6599998474121,23040.689453125
11.6700000762939,23232.140625
11.6800003051758,23204.388671875
11.6899995803833,22912.998046875
11.6999998092651,22915.154296875
11.710000038147,23042.18359375
11.7200002670288,23249.005859375
11.7299995422363,23217.693359375
11.7399997711182,23678.376953125
11.75,23542.474609375
11.7600002288818,23452.201171875
11.7700004577637,23619.84375
11.7799997329712,23786.02734375
11.789999961853,24005.375
11.8000001907349,23988.6875
11.8100004196167,24112.462890625
11.8199996948242,24557.025390625
11.8299999237061,24702.009765625
11.8400001525879,24624.845703125
11.8500003814697,24852.890625
11.8599996566772,24513.158203125
11.8699998855591,24564.37109375
11.8800001144409,24764.072265625
11.8900003433228,25071.84375
11.8999996185303,25146.90234375
11.9099998474121,24938.08984375
11.9200000762939,25208.580078125
11.9300003051758,25809.125
11.9399995803833,25998.931640625
11.9499998092651,25617.033203125
11.960000038147,25967.6796875
11.9700002670288,26607.529296875
11.9799995422363,26721.009765625
11.9899997711182,26433.619140625
12,26836.85546875
12.0100002288818,26783.34765625
12.0200004577637,27060.294921875
12.0299997329712,27724.935546875
12.039999961853,27837.837890625
12.0500001907349,27514.53515625
12.0600004196167,27200.775390625
12.0699996948242,27859.369140625
12.0799999237061,27895.140625
12.0900001525879,27985.306640625
12.1000003814697,28832.4375
12.1099996566772,28697.287109375
12.1199998855591,28510.474609375
12.1300001144409,28952.29296875
12.1400003433228,29211.646484375
12.1499996185303,29375.974609375
12.1599998474121,30254.123046875
12.1700000762939,30115.806640625
12.1800003051758,30221.421875
12.1899995803833,30904.625
12.1999998092651,31249.18359375
12.210000038147,31696.546875
12.2200002670288,32329.650390625
12.2299995422363,32118.7578125
12.2399997711182,31173.189453125
12.25,32059.306640625
12.2600002288818,32742.328125
12.2700004577637,32803.75390625
12.2799997329712,32840.1328125
12.289999961853,32508.44921875
12.3000001907349,33253.9375
12.3100004196167,33591.5703125
12.3199996948242,34004.078125
12.3299999237061,34148.8125
12.3400001525879,33868.2890625
12.3500003814697,34491.29296875
12.3599996566772,35033.55859375
12.3699998855591,35210.86328125
12.3800001144409,36076.03515625
12.3900003433228,36382.31640625
12.3999996185303,36777.6484375
12.4099998474121,36055.57421875
12.4200000762939,35621.2265625
12.4300003051758,36696.546875
12.4399995803833,38034.27734375
12.4499998092651,38190.02734375
12.460000038147,38204.96484375
12.4700002670288,38301.72265625
12.4799995422363,38364.84375
12.4899997711182,38858.421875
12.5,39563.21484375
12.5100002288818,39846.09375
12.5200004577637,39452.55859375
12.5299997329712,39523.74609375
12.539999961853,39991.390625
12.5500001907349,40576.85546875
12.5600004196167,40015.28515625
12.5699996948242,41026.1015625
12.5799999237061,41901.0234375
12.5900001525879,41829.99609375
12.6000003814697,41095.52734375
12.6099996566772,42339.03125
12.6199998855591,42501.26953125
12.6300001144409,42734.30859375
12.6400003433228,43060.5703125
12.6499996185303,42727.12890625
12.6599998474121,42874.3671875
12.6700000762939,43759.4609375
12.6800003051758,43598.82421875
12.6899995803833,43214.9296875
12.6999998092651,43675.23046875
12.710000038147,44665.34765625
12.7200002670288,44841.05859375
12.7299995422363,44310.640625
12.7399997711182,44668.2578125
12.75,45609.16796875
12.7600002288818,44654.18359375
12.7700004577637,44866
12.7799997329712,45872.54296875
12.789999961853,45199.7578125
12.8000001907349,44956.58203125
12.8100004196167,45474.890625
12.8199996948242,45854.68359375
12.8299999237061,46040.078125
12.8400001525879,45759.58984375
12.8500003814697,45576.14453125
12.8599996566772,45125.7109375
12.8699998855591,44995.46875
12.8800001144409,45691.79296875
12.8900003433228,46078.71484375
12.8999996185303,45854.69921875
12.9099998474121,46108.56640625
12.9200000762939,46344.7578125
12.9300003051758,46269.921875
12.9399995803833,46146.09375
12.9499998092651,45953.46484375
12.960000038147,45597.3203125
12.9700002670288,45708.85546875
12.9799995422363,45757.76171875
12.9899997711182,45978.18359375
13,46506.08203125
13.0100002288818,46535.90234375
13.0200004577637,46575.8203125
13.0299997329712,45663.8046875
13.039999961853,45403.86328125
13.0500001907349,45990.38671875
13.0600004196167,45375.16015625
13.0699996948242,45886.6640625
13.0799999237061,45819.01953125
13.0900001525879,45849.16015625
13.1000003814697,45766.82421875
13.1099996566772,44945.59375
13.1199998855591,44649.98046875
13.1300001144409,45324.0625
13.1400003433228,45456.6640625
13.1499996185303,45126.68359375
13.1599998474121,45003.79296875
13.1700000762939,45472.46484375
13.1800003051758,45320.6171875
13.1899995803833,44954.9453125
13.1999998092651,44935.578125
13.210000038147,44617.2421875
13.2200002670288,45063.265625
13.2299995422363,44285.56640625
13.2399997711182,44985.21875
13.25,44639.578125
13.2600002288818,44030.0078125
13.2700004577637,44017.7265625
13.2799997329712,44511.53515625
13.289999961853,45134.07421875
13.3000001907349,45018.17578125
13.3100004196167,44700.68359375
13.3199996948242,44280.62890625
13.3299999237061,43728.109375
13.3400001525879,42654.35546875
13.3500003814697,42027.17578125
13.3599996566772,43444.8046875
13.3699998855591,43946.1015625
13.3800001144409,44329.55078125
13.3900003433228,44609.34375
13.3999996185303,43285.53125
13.4099998474121,42611.52734375
13.4200000762939,42284.46484375
13.4300003051758,42729.015625
13.4399995803833,43103.59375
13.4499998092651,42364.87109375
13.460000038147,42656.03515625
13.4700002670288,42331.8671875
13.4799995422363,42793.74609375
13.4899997711182,42198.44921875
13.5,42128.22265625
13.5100002288818,42466.7734375
13.5200004577637,42588.515625
13.5299997329712,41988.68359375
13.539999961853,41963.6796875
13.5500001907349,41765.40234375
13.5600004196167,42276.6953125
13.5699996948242,42489.546875
13.5799999237061,41659.49609375
13.5900001525879,41418.26171875
13.6000003814697,40991.91796875
13.6099996566772,41401.61328125
13.6199998855591,41416.6328125
13.6300001144409,41429.1484375
13.6400003433228,40947.69140625
13.6499996185303,39912.6796875
13.6599998474121,40238.33203125
13.6700000762939,40479.1171875
13.6800003051758,41032.265625
13.6899995803833,40918.29296875
13.6999998092651,41270.953125
13.710000038147,41262.53515625
13.7200002670288,41124.73828125
13.7299995422363,40518.90234375
13.7399997711182,39976.29296875
13.75,39924.08203125
13.7600002288818,40118.20703125
13.7700004577637,40723.421875
13.7799997329712,40654.51953125
13.789999961853,40672.1484375
13.8000001907349,40788.65234375
13.8100004196167,40574.3359375
13.8199996948242,40551.55078125
13.8299999237061,40317.83203125
13.8400001525879,38852.796875
13.8500003814697,38921.6875
13.8599996566772,39467.90234375
13.8699998855591,39672.0546875
13.8800001144409,39010.58203125
13.8900003433228,39354.41796875
13.8999996185303,39295.8515625
13.9099998474121,39560.87890625
13.9200000762939,39572.43359375
13.9300003051758,39103.7890625
13.9399995803833,39630.84765625
13.9499998092651,39507.73046875
13.960000038147,39591.390625
13.9700002670288,39304.23046875
13.9799995422363,38966.3515625
13.9899997711182,38825.7578125
14,38637.36328125
14.0100002288818,39019.23046875
14.0200004577637,39195.2109375
14.0299997329712,38696.96484375
14.039999961853,38722.1640625
14.0500001907349,38895.234375
14.0600004196167,38303.1640625
14.0699996948242,39102.390625
14.0799999237061,38864.25390625
14.0900001525879,38385.875
14.1000003814697,38860.890625
14.1099996566772,38558.06640625
14.1199998855591,38794.328125
14.1300001144409,38553.77734375
14.1400003433228,38067.88671875
14.1499996185303,37724.0234375
14.1599998474121,37890.7890625
14.1700000762939,37866.5546875
14.1800003051758,37926.30078125
14.1899995803833,38322.76171875
14.1999998092651,38313.203125
14.210000038147,38194.765625
14.2200002670288,38030.53515625
14.2299995422363,37297.4296875
14.2399997711182,37090.51171875
14.25,37594.95703125
14.2600002288818,38620.78125
14.2700004577637,37989.640625
14.2799997329712,37323.78125
14.289999961853,38255.19140625
14.3000001907349,38322.56640625
14.3100004196167,37304.54296875
14.3199996948242,36975.265625
14.3299999237061,37285.7578125
14.3400001525879,37285.64453125
14.3500003814697,37526.08203125
14.3599996566772,37405.33203125
14.3699998855591,36893.34375
14.3800001144409,36858.203125
14.3900003433228,37302.25390625
14.3999996185303,36604.5625
14.4099998474121,36698.5234375
14.4200000762939,36970.43359375
14.4300003051758,36578.40625
14.4399995803833,36563.23046875
14.4499998092651,37115.828125
14.460000038147,36881.08203125
14.4700002670288,36960.74609375
14.4799995422363,37208.640625
14.4899997711182,36644.0859375
14.5,36324.4921875
14.5100002288818,36609.06640625
14.5200004577637,36863.359375
14.5299997329712,36456.50390625
14.539999961853,36037.4921875
14.5500001907349,36335.21875
14.5600004196167,36104.640625
14.5699996948242,36489.5234375
14.5799999237061,36584.203125
14.5900001525879,36589.8984375
14.6000003814697,36126.44921875
14.6099996566772,36129.91796875
14.6199998855591,36042.31640625
14.6300001144409,35809.4921875
14.6400003433228,35729.5546875
14.6499996185303,36204.55078125
14.6599998474121,35648.58984375
14.6700000762939,36255.30078125
14.6800003051758,35963.96875
14.6899995803833,35780.94921875
14.6999998092651,35546.21875
14.710000038147,35632.96484375
14.7200002670288,35990.85546875
14.7299995422363,35549.375
14.7399997711182,35454.04296875
14.75,35305.9453125
14.7600002288818,35290.77734375
14.7700004577637,35959.87890625
14.7799997329712,35603.20703125
14.789999961853,36061.94140625
14.8000001907349,35099.39453125
14.8100004196167,34729.12109375
14.8199996948242,35598.43359375
14.8299999237061,35359.63671875
14.8400001525879,35365.1640625
14.8500003814697,35378.18359375
14.8599996566772,35841.4453125
14.8699998855591,35264.80859375
14.8800001144409,34968.71484375
14.8900003433228,34480.2421875
14.8999996185303,34017.75390625
14.9099998474121,34505.59375
14.9200000762939,34992.015625
14.9300003051758,35059.25390625
14.9399995803833,35457.4609375
14.9499998092651,35350.2578125
14.960000038147,34860.37890625
14.9700002670288,34316.31640625
14.9799995422363,34387.171875
14.9899997711182,34899.6640625
15,34403.2109375
15.0100002288818,33467.4921875
15.0200004577637,34249.41796875
15.0299997329712,34367.984375
15.039999961853,33800.0390625
15.0500001907349,34513.80078125
15.0600004196167,34725.79296875
15.0699996948242,33749.7109375
15.0799999237061,33539.05078125
15.0900001525879,33842.96875
15.1000003814697,34306.48828125
15.1099996566772,34490.98828125
15.1199998855591,34638.171875
15.1300001144409,34235.6171875
15.1400003433228,34104.93359375
15.1499996185303,33846.0390625
15.1599998474121,33614.859375
15.1700000762939,33442.9921875
15.1800003051758,33504.74609375
15.1899995803833,33854.0859375
15.1999998092651,33703.23828125
15.210000038147,33998.671875
15.2200002670288,33808.54296875
15.2299995422363,33555.80078125
15.2399997711182,33906.59375
15.25,33756.61328125
15.2600002288818,33521.0859375
15.2700004577637,33758.45703125
15.2799997329712,33813.8671875
15.289999961853,33628.703125
15.3000001907349,33065.66796875
15.3100004196167,33124.515625
15.3199996948242,33198.4375
15.3299999237061,33071.8359375
15.3400001525879,33157.87109375
15.3500003814697,33330.3984375
15.3599996566772,32303.154296875
15.3699998855591,32569.4453125
15.3800001144409,33799.3984375
15.3900003433228,33447.234375
15.3999996185303,33092.046875
15.4099998474121,33287.421875
15.4200000762939,32813.40234375
15.4300003051758,32550.021484375
15.4399995803833,32467.650390625
15.4499998092651,33367.20703125
15.460000038147,33185.9375
15.4700002670288,32970.4140625
15.4799995422363,33283.63671875
15.4899997711182,33042.35546875
15.5,33752.16015625
15.5100002288818,33559.36328125
15.5200004577637,32876.4296875
15.5299997329712,32765.8359375
15.539999961853,32857.63671875
15.5500001907349,32950.51171875
15.5600004196167,32251.798828125
15.5699996948242,32303.978515625
15.5799999237061,32806.53125
15.5900001525879,32990.328125
15.6000003814697,33015.60546875
15.6099996566772,32779.08984375
15.6199998855591,32757.80859375
15.6300001144409,33125.25390625
15.6400003433228,33034.609375
15.6499996185303,32854.5546875
15.6599998474121,32601.654296875
15.6700000762939,32776.20703125
15.6800003051758,33113.40625
15.6899995803833,32246.44140625
15.6999998092651,32643.8359375
15.710000038147,32776.203125
15.7200002670288,32066.064453125
15.7299995422363,32424.771484375
15.7399997711182,32230.78515625
15.75,32030.474609375
15.7600002288818,31601.513671875
15.7700004577637,31882.146484375
15.7799997329712,32309.33984375
15.789999961853,32526.875
15.8000001907349,32361.4453125
15.8100004196167,31745.9765625
15.8199996948242,31786.453125
15.8299999237061,31974.6953125
15.8400001525879,32367.32421875
15.8500003814697,32348.013671875
15.8599996566772,31856.228515625
15.8699998855591,32211.259765625
15.8800001144409,31692.88671875
15.8900003433228,32284.451171875
15.8999996185303,31788.322265625
15.9099998474121,31957.275390625
15.9200000762939,32158.76953125
15.9300003051758,31654.041015625
15.9399995803833,31861.849609375
15.9499998092651,31766.580078125
15.960000038147,32373.533203125
15.9700002670288,32171.794921875
15.9799995422363,31723.984375
15.9899997711182,31808.810546875
16,31798.134765625
16.0100002288818,31854.54296875
16.0200004577637,32055.53125
16.0300006866455,32252.052734375
16.0400009155273,31960.44921875
16.0499992370605,31527.52734375
16.0599994659424,31576.44921875
16.0699996948242,31915.98046875
16.0799999237061,32001.669921875
16.0900001525879,31360.189453125
16.1000003814697,31915.244140625
16.1100006103516,31872.25390625
16.1200008392334,32342.0546875
16.1299991607666,31823.12109375
16.1399993896484,32343.9375
16.1499996185303,32121.640625
16.1599998474121,31814.6328125
16.1700000762939,31788.837890625
16.1800003051758,31739.361328125
16.1900005340576,31917.28125
16.2000007629395,31585.404296875
16.2099990844727,32155.724609375
16.2199993133545,32183.787109375
16.2299995422363,31346.150390625
16.2399997711182,31144.05078125
16.25,31308.396484375
16.2600002288818,31477.169921875
16.2700004577637,31218.0625
16.2800006866455,31422.1640625
16.2900009155273,31422.19921875
16.2999992370605,31128.755859375
16.3099994659424,31932.21875
16.3199996948242,31646.64453125
16.3299999237061,31664.328125
16.3400001525879,32125.224609375
